Nr;Durchmesser [mm];Strecke [mm];Fallzeit [s];Temperatur [C]
1;9.000;400;12.43;22.0
2;9.000;400;12.24;22.0
3;9.000;400;12.62;22.0
4;9.000;400;12.42;22.0
5;9.000;400;12.39;22.0
1;8.000;400;15.92;22.0
2;8.000;400;15.50;22.0
3;8.000;400;15.80;22.0
4;8.000;400;15.40;22.0
5;8.000;400;15.54;22.0
1;7.144;400;17.21;22.0
2;7.144;400;17.10;22.0
3;7.144;400;17.09;22.0
4;7.144;400;17.17;22.0
5;7.144;400;17.10;22.0
1;6.000;400;22.65;22.5
2;6.000;400;22.80;22.5
3;6.000;400;23.15;22.5
4;6.000;400;22.86;22.5
5;6.000;400;22.54;22.5
1;5.000;450;35.18;22.5
2;5.000;450;35.06;22.5
3;5.000;450;35.42;22.5
4;5.000;450;35.18;22.5
5;5.000;450;35.63;22.5
1;4.000;450;55.01;22.5
2;4.000;450;53.32;22.5
3;4.000;450;53.00;22.5
4;4.000;450;53.68;22.5
5;4.000;450;55.20;22.5
