Ordnung n;Min* [px];Abstand Min* [px];Min [px];Abstand Min [px];Max* [px];Abstand Max* [px];Max [px];Abstand Max [px]
-5;618.57;405.45;619.69;404.33;581.74;442.28;583.06;440.96
-4;698.52;325.5;698.73;325.29;660.79;363.23;662.93;361.09
-3;780.26;243.76;780.08;243.94;739.84;284.18;743.08;280.94
-2;860.21;163.81;862.68;161.34;822.48;201.54;824.03;199.99
-1;941.96;82.06;944.8;79.22;908.72;115.3;908.05;115.97
1;1106.35;-82.33;1108.55;-84.53;1142.28;-118.26;1142.85;-118.83
2;1187.19;-163.17;1188.74;-164.72;1225.82;-201.8;1225.83;-201.81
3;1271.64;-247.62;1272.31;-248.29;1309.36;-285.34;1310.52;-286.5
4;1354.28;-330.26;1355.70;-331.68;1392.91;-368.89;1395.01;-370.99
5;1433.33;-409.31;1438.30;-414.28;1472.86;-448.84;1473.02;-449
